Server,HasshServer,KEX,Encryption,MAC,Compression
"SSH-2.0-dropbear_0.44","685c82c168a8406c4375c835cbaf8060","diffie-hellman-group1-sha1","aes128-cbc,blowfish-cbc,twofish-cbc,3des-cbc","hmac-sha1,hmac-md5","none,zlib"
"SSH-2.0-dropbear_0.45","685c82c168a8406c4375c835cbaf8060","diffie-hellman-group1-sha1","aes128-cbc,blowfish-cbc,twofish-cbc,3des-cbc","hmac-sha1,hmac-md5","none,zlib"
"SSH-2.0-dropbear_0.46","685c82c168a8406c4375c835cbaf8060","diffie-hellman-group1-sha1","aes128-cbc,blowfish-cbc,twofish-cbc,3des-cbc","hmac-sha1,hmac-md5","none,zlib"
"SSH-2.0-dropbear_0.47","81e6b29b428f04acb227d83340eb57df","diffie-hellman-group1-sha1","aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,blowfish-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,none"
"SSH-2.0-dropbear_0.48","81e6b29b428f04acb227d83340eb57df","diffie-hellman-group1-sha1","aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,blowfish-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,none"
"SSH-2.0-dropbear_0.48","81e6b29b428f04acb227d83340eb57df","diffie-hellman-group1-sha1","aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,blowfish-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,none"
"SSH-2.0-dropbear_0.49","81e6b29b428f04acb227d83340eb57df","diffie-hellman-group1-sha1","aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,blowfish-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,none"
"SSH-2.0-dropbear_0.50","81e6b29b428f04acb227d83340eb57df","diffie-hellman-group1-sha1","aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,blowfish-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,none"
"SSH-2.0-dropbear_0.51","81e6b29b428f04acb227d83340eb57df","diffie-hellman-group1-sha1","aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,blowfish-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,none"
"SSH-2.0-dropbear_0.52","a26a627b7cb7d8b307da9e96731e1215","diffie-hellman-group1-sha1","aes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc,blowfish-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,zlib@openssh.com,none"
"SSH-2.0-dropbear_0.53","16f898dd8ed8279e1055350b4e20666c","diffie-hellman-group1-sha1,diffie-hellman-group14-sha1","aes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,zlib@openssh.com,none"
"SSH-2.0-dropbear_0.53.1","16f898dd8ed8279e1055350b4e20666c","diffie-hellman-group1-sha1,diffie-hellman-group14-sha1","aes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,zlib@openssh.com,none"
"SSH-2.0-dropbear_2011.54","16f898dd8ed8279e1055350b4e20666c","diffie-hellman-group1-sha1,diffie-hellman-group14-sha1","aes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,zlib@openssh.com,none"
"SSH-2.0-dropbear_2012.55","16f898dd8ed8279e1055350b4e20666c","diffie-hellman-group1-sha1,diffie-hellman-group14-sha1","aes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,zlib@openssh.com,none"
"SSH-2.0-dropbear_2013.56","16f898dd8ed8279e1055350b4e20666c","diffie-hellman-group1-sha1,diffie-hellman-group14-sha1","aes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,zlib@openssh.com,none"
"SSH-2.0-dropbear_2013.57","22865d7159a8dedcb091cd4fc5fd2841","diffie-hellman-group1-sha1,diffie-hellman-group14-sha1,kexguess2@matt.ucc.asn.au","aes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,zlib@openssh.com,none"
"SSH-2.0-dropbear_2013.58","22865d7159a8dedcb091cd4fc5fd2841","diffie-hellman-group1-sha1,diffie-hellman-group14-sha1,kexguess2@matt.ucc.asn.au","aes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,zlib@openssh.com,none"
"SSH-2.0-dropbear_2013.59","22865d7159a8dedcb091cd4fc5fd2841","diffie-hellman-group1-sha1,diffie-hellman-group14-sha1,kexguess2@matt.ucc.asn.au","aes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,zlib@openssh.com,none"
"SSH-2.0-dropbear_2013.60","22865d7159a8dedcb091cd4fc5fd2841","diffie-hellman-group1-sha1,diffie-hellman-group14-sha1,kexguess2@matt.ucc.asn.au","aes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,zlib@openssh.com,none"
"SSH-2.0-dropbear_2013.61test","ad00edb0c2a031d9884826ba7b7ba41e","curve25519-sha256@libssh.org,ecdh-sha2-nistp521,ecdh-sha2-nistp384,ecdh-sha2-nistp256,diffie-hellman-group1-sha1,diffie-hellman-group14-sha1,kexguess2@matt.ucc.asn.au","aes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,zlib@openssh.com,none"
"SSH-2.0-dropbear_2013.62","ad00edb0c2a031d9884826ba7b7ba41e","curve25519-sha256@libssh.org,ecdh-sha2-nistp521,ecdh-sha2-nistp384,ecdh-sha2-nistp256,diffie-hellman-group1-sha1,diffie-hellman-group14-sha1,kexguess2@matt.ucc.asn.au","aes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,zlib@openssh.com,none"
"SSH-2.0-dropbear_2014.63","ad00edb0c2a031d9884826ba7b7ba41e","curve25519-sha256@libssh.org,ecdh-sha2-nistp521,ecdh-sha2-nistp384,ecdh-sha2-nistp256,diffie-hellman-group1-sha1,diffie-hellman-group14-sha1,kexguess2@matt.ucc.asn.au","aes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,zlib@openssh.com,none"
"SSH-2.0-dropbear_2014.64","ad00edb0c2a031d9884826ba7b7ba41e","curve25519-sha256@libssh.org,ecdh-sha2-nistp521,ecdh-sha2-nistp384,ecdh-sha2-nistp256,diffie-hellman-group1-sha1,diffie-hellman-group14-sha1,kexguess2@matt.ucc.asn.au","aes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,zlib@openssh.com,none"
"SSH-2.0-dropbear_2014.65","ad00edb0c2a031d9884826ba7b7ba41e","curve25519-sha256@libssh.org,ecdh-sha2-nistp521,ecdh-sha2-nistp384,ecdh-sha2-nistp256,diffie-hellman-group1-sha1,diffie-hellman-group14-sha1,kexguess2@matt.ucc.asn.au","aes128-ctr,3des-ctr,aes256-ctr,aes128-cbc,3des-cbc,aes256-cbc,twofish256-cbc,twofish-cbc,twofish128-cbc","hmac-sha1-96,hmac-sha1,hmac-md5","zlib,zlib@openssh.com,none"
